name,address,phone,website,rating,review_count,business_type,latitude,longitude,opening_hours,recent_reviews,place_id
ガリバー札幌手稲店,日本、〒006-0033 北海道札幌市手稲区稲穂３条１丁目２−２０,0120-917-570,https://221616.com/shop/doou/G01389/?utm_source=google&utm_medium=maps,4.4,99,car_dealer,43.1208682,141.232988,"月曜日: 10時00分～20時00分
火曜日: 10時00分～20時00分
水曜日: 10時00分～20時00分
木曜日: 10時00分～20時00分
金曜日: 10時00分～20時00分
土曜日: 10時00分～20時00分
日曜日: 10時00分～20時00分","★1: ◯川という営業は、自分が楽な方法を取り、客の気持ちを考えられないみたいなので、ついた場合には担当を変更することを強くおすすめします。

・査定後、他社でも見積もり取ってます。の一言で、15分ほどで50
★1: 車探していて手稲方面に行ったついでに
ガリバーにも寄りました、
営業マンがついて、15分ほど
希望など話して外に置いている車を見せていただいて最初の説明もいれたら、１時間もかかってないです。
今日見た
★5: 初めての車の購入でしたが、丁寧に接客していただきました。在庫も多く、希望に近いものを選べると思います。",ChIJW4yS4z8nC18RVCD4sLOWvhc
ネクステージ 札幌手稲店,日本、〒006-0805 北海道札幌市手稲区新発寒５条１丁目１２−１,011-215-4909,https://www.nextage.jp/shop/1231/,4.1,387,car_dealer,43.1106506,141.2766696,"月曜日: 10時00分～19時00分
火曜日: 12時00分～19時00分
水曜日: 10時00分～19時00分
木曜日: 10時00分～19時00分
金曜日: 10時00分～19時00分
土曜日: 10時00分～19時00分
日曜日: 10時00分～19時00分","★1: 今回、購入させていただきました。
担当の方は悪い方ではないのですが言い訳ばかりで後回しにされます。
必要な書類も用意出来次第写真で送ってくださいと何度もお伝えしたのですが結局は送られて来ずでした。
車
★5: 今回は下取り及び中古車の購入まで対応ありがとうございました！
担当さんの受け答えと、正直に話してくれる対応がとても良かったです。保証内容や手続きにあたってのこちらからの質問をハッキリと答えてもらえて、
★1: 正直不信感が強いです。

先月見学して乗り出しが83万円と記載あったのですが、出てきた見積もりが150万円でした。
正直コーティングのオプション等は不要でしたので、削れないかどうか確認したところ、「皆",ChIJiWUawz0nC18RsmTO3j4GqjA
ウィーカーズ 札幌手稲店,日本、〒006-0013 北海道札幌市手稲区富丘３条２丁目１−５,0120-156-660,https://wecars.co.jp/guide/?id=314,4,139,car_dealer,43.100146,141.2534219,"月曜日: 10時00分～19時00分
火曜日: 10時00分～19時00分
水曜日: 10時00分～19時00分
木曜日: 10時00分～19時00分
金曜日: 10時00分～19時00分
土曜日: 10時00分～19時00分
日曜日: 10時00分～19時00分","★1: 車査定を依頼していたが、当日になっても約束の時間に来ず、今日行けないって電話するのを忘れてましたと言われ、ドタキャンされた
★1: 数社買取りサイトにて査定してもらいました。営業の方は強引かつ怠慢で誠意が感じられませんでした。査定は時間が取れないので2社同時査定してもらったのですが、他社を帰らせてたら高査定額出しますよと何せ自分主
★2: ２時間ぐらい居て前の店より３０万円低い買い取り金額出されました。交渉してもこれ以上はダメとのこと。車の相場の本を出されて読まされましたが売る方としてはそんなの関係ないです。高く買い取ってもらえばそれで",ChIJ9RVBCucnC18RqHaf1df6jyw
カーセブン 札幌西店｜中古車販売・買取店,日本、〒006-0012 北海道札幌市手稲区富丘２条４丁目４−１,011-686-8181,https://carseven-sapporo.jp/shop_info/shop_nishi/,4.3,145,car_dealer,43.1080723,141.2503967,"月曜日: 9時30分～18時30分
火曜日: 定休日
水曜日: 9時30分～18時30分
木曜日: 9時30分～18時30分
金曜日: 9時30分～18時30分
土曜日: 9時30分～18時30分
日曜日: 9時30分～18時30分","★4: いい車に会えて、しかも色々なこちらの要望を聞いていただき、決断できました。
高い買い物になりますので実際乗ってみて、車の調子に期待も込めて⭐︎四つとさせていただきます。
★1: 車の買取査定で来店しました。査定の際に他社での査定額を教えてくれとしつこく聞かれ、仕舞いには他社での査定額を教えてもらえないと金額を出せませんと言われました。買取の額を知るために査定に来てるのに金額を
★5: こちらで車購入させてもらいました！
担当の方とても親切な対応で良かったです
機会があればまたこちらで購入検討したいと思います！",ChIJ4RScasEnC18R01axLmM-1Sw
SPIRE AUTO（スパイアオート）,日本、〒006-0002 北海道札幌市手稲区西宮の沢２条１丁目５−２５,011-215-7810,http://spire-auto.com/honten/,4.9,189,car_dealer,43.101512,141.268688,"月曜日: 定休日
火曜日: 定休日
水曜日: 9時00分～18時00分
木曜日: 9時00分～18時00分
金曜日: 9時00分～18時00分
土曜日: 9時00分～18時00分
日曜日: 9時00分～18時00分","★1: 数年前にここで購入しました。
車自体に不具合はほぼなく気に入っていますが、納車前にあると言われるもの(車の取り扱い説明車、Bluetoothで音楽を聞くことのできる機能など)が納車時には無く、電話で問
★1: この口コミを見て、評価を判断するのはやめてください。購入する前に店側が客に口コミをするように依頼して低評価しづらくさせています。
以前ここで車を購入しましたが、購入させるちょっと強引さが目立ちました。
★5: 憧れの車をカーセンサーで発見！
即メール入れ、翌日早くに返信あり！メールでの連絡もとても早かったです！
私は気になりすぎて、翌朝来店！
とても良い状態で管理されていて、担当して頂いた清水さんの丁寧、親",ChIJj85zusInC18RWQ_al6i5ebk
アップル札幌手稲店 中古車買取/販売・車査定,日本、〒006-0033 北海道札幌市手稲区稲穂３条３丁目１１−１,0120-881-717,https://www.applenet.co.jp/shop/0199/,4.8,122,car_dealer,43.1230714,141.2250066,"月曜日: 10時00分～18時00分
火曜日: 10時00分～18時00分
水曜日: 10時00分～18時00分
木曜日: 10時00分～18時00分
金曜日: 10時00分～18時00分
土曜日: 10時00分～18時00分
日曜日: 10時00分～18時00分","★5: 以前にこちらのお店でマツダのデミオを買い取っていただき、今回はプジョーの308を買い取っていただきました。

前の担当の方が在籍していなかったのは残念でしたが、今回担当していただいた方も親切・丁寧な方
★5: この度、こちらのお店で夫の車を下取って頂き、新たにとても気になっていたスカイラインと巡り合うことが出来、良いお取引が出来て本当に感謝しています。担当の方はとても若いのにしっかりと対応してくださり、安心
★5: 家族からの紹介で、こちらで車を買取して頂きました。
対応して頂いた方をはじめ、スタッフの皆様の対応がとても親切で最後まで安心して取引が進められました。
買取以外の車の相談事も親切にお話しを聞いてくださ",ChIJv93BeQonC18RvokB93FPJlM
スパイアオート FACTORY,日本、〒006-0002 北海道札幌市手稲区西宮の沢２条１丁目５−２０ ＳＰＩＲＥ ＡＵＴＯ ＯＵＴＬＥＴ,011-666-9996,http://spire-auto.com/outlet/,5,171,car_dealer,43.1017198,141.2682845,"月曜日: 定休日
火曜日: 定休日
水曜日: 9時00分～18時00分
木曜日: 9時00分～18時00分
金曜日: 9時00分～18時00分
土曜日: 9時00分～18時00分
日曜日: 9時00分～18時00分","★5: 大変お世話になりました。

サクシードのスパイアオートさんカスタム、とても気に入っています！かっこよく、内装もとてもきれいで、仕事でもプライベートでも気持ちよく過ごすことができます。

四国から移住し
★5: 接客対応も車の状態も納得できるお店でした
保証も1年間ほとんどのトラブルに対応してもらえて安心感もあります
買ったばかりですが次もここでお願いしたくなるお店ですね
★5: 2度目の中古車購入でしたが、とても信頼出来るお店でした。
以前は、お店選びで失敗したので慎重に選ぶつもりでしたが、取り扱っている車のクオリティが高く、お金がかかる事はかかる、必要ないものは必要ないと教",ChIJsccfptknC18RhkYLQVo3ai0
プジョー 札幌西,日本、〒006-0004 北海道札幌市手稲区西宮の沢４条１丁目１−１０ イデアル,011-669-4111,https://sapporonishi.peugeot-dealer.jp/cgi-bin/WebObjects/13fc12cd6c4.woa/,3.8,99,car_dealer,43.09549079999999,141.2614169,"月曜日: 10時00分～19時00分
火曜日: 定休日
水曜日: 10時00分～19時00分
木曜日: 10時00分～19時00分
金曜日: 10時00分～19時00分
土曜日: 10時00分～19時00分
日曜日: 10時00分～19時00分","★5: 数年前に車両整備でお世話になってからずっとお世話になっています。
どのスタッフさんも明るく親切丁寧でショールームの雰囲気もよく、信頼できるオススメのお店です。
★5: 担当営業さんも親身に相談に乗ってくれて、初の外国車で不安でしたが安心して購入できました。このお店で買って良かったです。
これからも色々とお世話になります！！
★5: 転勤で札幌に移動して以来、いつもお世話になっています。道外での購入にも関わらずいつも快く丁寧に対応くださりとても好感が持てます。他の人にも紹介できる信頼のできる販売店です。",ChIJLTY0ogooC18RAHpB1e7R7_Q
スズキ自販北海道 スズキアリーナ手稲,日本、〒006-0005 北海道札幌市手稲区西宮の沢５条１丁目１２−２５,011-665-5500,https://www.suzuki.co.jp/dealer/01109951.sj-hokkaido/,3.6,96,car_dealer,43.0953851,141.2603288,"月曜日: 10時00分～18時00分
火曜日: 定休日
水曜日: 定休日
木曜日: 10時00分～18時00分
金曜日: 10時00分～18時00分
土曜日: 10時00分～18時00分
日曜日: 10時00分～18時00分","★1: 車検受付時において、男性社員は本来の担当ではないとの理由で氏名を名乗らず、オイル交換等のパック商品も内容ではなく、料金のみ説明した。後日、車検の見積額の電話では、専門的な部品名を掲げて交換しないと車検
★5: お得な安心メンテナンスパックを勧めていただき、車検と法定点検をお願いしています。
営業も整備の方も接客がとても親切です！
★4: 納車で伺いました。
分からないことは、全て笑顔で対応して頂けて、有難いです(*^^*)
店舗内、トイレ🚻含めて清潔感があり、気になりません。
スタッフさんも、お客さんと楽しんで話をしてくれるので親近感",ChIJa2vOJuAnC18RaHKmkcY6ZNU
㈱ボンズカンパニー／Ｂｏｎｄｓ－ｃｏｍｐａｎｙ,日本、〒006-0829 北海道札幌市手稲区手稲前田４９７−１,011-676-5927,https://bonds-company.com/,4.3,39,car_dealer,43.1354146,141.264958,"月曜日: 10時00分～19時00分
火曜日: 10時00分～19時00分
水曜日: 10時00分～19時00分
木曜日: 10時00分～19時00分
金曜日: 10時00分～19時00分
土曜日: 10時00分～19時00分
日曜日: 10時00分～19時00分","★5: 2月に中古車を購入
程度も良く、相場より安く、車両状態に関して他社では別料金で対応する整備までコミコミで対応して頂けました。
また、下取り車も他所では値段が付かない様な車でも十分過ぎる値段をつけてもら
★5: 社長さんはとてもお人柄がの良い方です。
スタッフ皆さんが、親切丁寧でしっかり動いてくれます。
車を購入したり紹介するならここボンズカンパニーさんです！！
★5: 社長さんには、9年お世話になっています。
車検も通らないくらいの廃車寸前の車の入れ替えで途方に暮れていた時、社長さんが手を差し伸べてくれました。
新古車の軽自動車を購入するにあたり、廃車同然の車を８万",ChIJc7518PUnC18Rz49BClYMSOU
マツダオートザム手稲 / ㈱小林自動車,日本、〒006-0012 北海道札幌市手稲区富丘２条５丁目１−１９,011-681-4145,https://www.mazda-az-teine.co.jp/,4,26,car_dealer,43.1098684,141.2495811,"月曜日: 9時00分～18時00分
火曜日: 定休日
水曜日: 9時00分～18時00分
木曜日: 9時00分～18時00分
金曜日: 9時00分～18時00分
土曜日: 9時00分～18時00分
日曜日: 9時00分～18時00分","★5: 中古車を見に訪問。応対して頂いた営業の方が大変誠実で好感が持てた。
中古車は一点物であるので客観的な目線でメリット デメリットを説明してくれ、購入後のメンテナンスとオイル交換のパッケージプランも大変良
★5: マツダ車ディーゼルエンジンのオイルメンテナンスは純正一択ですが、オイル交換のお得なメニューや大手ディーラーでは取扱のない煤の除去サービスなど、長く大切に乗りたい方にはおすすめのお店です。
★1: 空調設備の不調で入庫した所、内気外気循環のセレクターノブ？のワイヤーが適当に取り付けられていて閉まりきらず、長いトンネルで排気ガスが車内に入り込むので気分が悪くなる事がありその話をしてみた所、見てはく",ChIJp5WpzMAnC18RMQxGSKA9TvY
シトロエン札幌西,日本、〒006-0004 北海道札幌市手稲区西宮の沢４条１丁目１−１０,011-669-4611,https://sapporonishi.citroen-dealer.jp/cgi-bin/WebObjects/13fc11f688b.woa/,4.5,68,car_dealer,43.09550590000001,141.2615019,"月曜日: 10時00分～19時00分
火曜日: 定休日
水曜日: 10時00分～19時00分
木曜日: 10時00分～19時00分
金曜日: 10時00分～19時00分
土曜日: 10時00分～19時00分
日曜日: 10時00分～19時00分","★5: このお店とは、10年以上のお付き合いですが、店員の方の対応も非常に良く
このお店で車を購入して良かったです。
★4: ワタシの好きな車がたくさん！
ただ、車検切れが多いので試乗は中々出来ません。それを理解してれば楽しいです。
★5: こちらでクルマを2台購入いたしました。いつもお世話になっております。",ChIJo-TLAOAnC18RLpjjd9LUb5g
BYD AUTO 札幌西(ビーワイディーオート),日本、〒006-0804 北海道札幌市手稲区新発寒４条４丁目８−１２,011-330-7617,https://dealer.bydauto.co.jp/hp/sapporo,4.4,22,car_dealer,43.11371219999999,141.2717606,"月曜日: 10時00分～18時00分
火曜日: 定休日
水曜日: 定休日
木曜日: 10時00分～18時00分
金曜日: 10時00分～18時00分
土曜日: 10時00分～18時00分
日曜日: 10時00分～18時00分","★4: 発売している電気自動車はコストパフォーマンスも性能も良く、大変満足しています。
2023年冬に納車されて、マイナス20℃を下回る中、走行したり充電したりしましたが何のトラブルもありません。流石に真冬は
★5: BYD AUTO札幌西店に初めてBYD SEALを試乗しました。スタッフの方お二人とも車両説明を懇切丁寧にしかも豊富な知識をお持ちで大変共感しました。国産車・ドイツ車と数台乗りましたがSEALのエクス
★5: 情報でしか知らなかったATTO3を試乗してみまして、車の高い完成度に感心しました！
今乗っているハイブリッドの次はきっとEVに行くと思うきっかけになりました。",ChIJTbziyG8pC18RNFqbn2lNgok
CarShopTR,日本、〒006-0829 北海道札幌市手稲区手稲前田６１４,,,2.8,11,car_dealer,43.1553163,141.2525652,"月曜日: 10時00分～18時00分
火曜日: 10時00分～18時00分
水曜日: 10時00分～18時00分
木曜日: 10時00分～18時00分
金曜日: 10時00分～18時00分
土曜日: 10時00分～18時00分
日曜日: 10時00分～18時00分","★5: 元同僚の紹介で数年前からお世話になってますが、色々とお客様の相談にも対応してくれる大変良いお店です！！
おすすめしまーす！！
★5: その節はありがとうございました。
7月にRXを購入させていただきました。
調子良いです。
店員さんがかなり優しい方でした！
また何かあれば宜しくお願い致します。
★5: いつもお世話になっている車屋さんです。
故障した時も、親切・丁寧に対応してくれます。
また、従業員の方もいつも笑顔で対応してくれます。",ChIJUyEOaJUnC18RpBavEApE2Oc
